time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.035,0.923,0.042,0.138233
1000,0.035,0.854,0.112,0.238825
1500,0.042,0.794,0.164,0.302460
2000,0.042,0.794,0.164,0.293075
2500,0.067,0.722,0.211,0.363648
3000,0.077,0.715,0.208,0.342766
3500,0.077,0.655,0.268,0.401821
4000,0.082,0.650,0.268,0.395331
4500,0.097,0.635,0.268,0.414822
5000,0.112,0.526,0.362,0.459210
5500,0.134,0.509,0.357,0.468309
6000,0.156,0.467,0.377,0.474688
6500,0.161,0.454,0.385,0.471915
7000,0.196,0.412,0.392,0.481674
7500,0.218,0.355,0.427,0.491694
8000,0.241,0.298,0.462,0.479497
8500,0.246,0.328,0.427,0.475965
9000,0.308,0.280,0.412,0.492025
9500,0.328,0.228,0.444,0.473030
10000,0.360,0.223,0.417,0.487358
10500,0.377,0.226,0.397,0.489086
11000,0.372,0.206,0.422,0.474896
11500,0.395,0.154,0.452,0.444122
12000,0.447,0.129,0.424,0.433365
12500,0.514,0.114,0.372,0.421650
13000,0.556,0.117,0.328,0.399193
13500,0.553,0.089,0.357,0.394104
14000,0.566,0.134,0.300,0.412538
14500,0.437,0.146,0.417,0.461252
15000,0.452,0.184,0.365,0.484204
15500,0.437,0.184,0.380,0.466627
16000,0.429,0.194,0.377,0.479278
16500,0.412,0.184,0.404,0.480970
17000,0.429,0.156,0.414,0.467795
17500,0.486,0.144,0.370,0.448005
18000,0.568,0.082,0.350,0.384608
18500,0.538,0.102,0.360,0.388684
19000,0.536,0.114,0.350,0.408791
19500,0.489,0.141,0.370,0.457577
20000,0.481,0.166,0.352,0.462354
20500,0.449,0.146,0.404,0.453496
21000,0.486,0.136,0.377,0.445359
21500,0.454,0.136,0.409,0.458726
22000,0.494,0.161,0.345,0.462067
22500,0.509,0.134,0.357,0.446846
23000,0.583,0.114,0.303,0.404971
23500,0.635,0.074,0.290,0.356678
24000,0.660,0.045,0.295,0.326730
24500,0.712,0.062,0.226,0.305723
25000,0.650,0.030,0.320,0.348786
25500,0.707,0.042,0.251,0.326847
26000,0.717,0.032,0.251,0.300107
26500,0.732,0.025,0.243,0.277081
27000,0.727,0.035,0.238,0.295480
27500,0.705,0.025,0.270,0.304801
28000,0.690,0.015,0.295,0.315256
28500,0.730,0.025,0.246,0.268697
29000,0.772,0.027,0.201,0.246117
29500,0.809,0.020,0.171,0.215132
30000,0.841,0.022,0.136,0.183823
30500,0.826,0.020,0.154,0.195502
31000,0.836,0.020,0.144,0.172541
31500,0.829,0.017,0.154,0.197683
32000,0.814,0.015,0.171,0.220033
32500,0.747,0.027,0.226,0.295528
33000,0.727,0.047,0.226,0.319273
33500,0.747,0.045,0.208,0.277709
34000,0.734,0.022,0.243,0.304722
34500,0.700,0.037,0.263,0.328837
35000,0.687,0.047,0.266,0.337467
35500,0.670,0.042,0.288,0.360119
36000,0.635,0.079,0.285,0.378751
36500,0.613,0.072,0.315,0.394996
37000,0.600,0.094,0.305,0.405403
37500,0.625,0.052,0.323,0.367133
38000,0.620,0.072,0.308,0.386364
38500,0.586,0.079,0.335,0.412769
39000,0.620,0.079,0.300,0.402554
39500,0.630,0.065,0.305,0.379935
40000,0.615,0.079,0.305,0.404091
40500,0.546,0.072,0.382,0.427062
41000,0.581,0.097,0.323,0.407959
41500,0.620,0.114,0.266,0.421163
42000,0.603,0.069,0.328,0.399779
42500,0.670,0.072,0.258,0.344572
43000,0.732,0.032,0.236,0.257743
43500,0.769,0.042,0.189,0.237047
44000,0.789,0.037,0.174,0.223775
44500,0.779,0.032,0.189,0.238994
45000,0.814,0.030,0.156,0.193585
45500,0.797,0.025,0.179,0.233038
46000,0.829,0.007,0.164,0.175651
46500,0.792,0.020,0.189,0.227959
47000,0.777,0.020,0.203,0.231154
47500,0.784,0.015,0.201,0.234904
48000,0.804,0.025,0.171,0.228092
48500,0.744,0.022,0.233,0.285591
49000,0.772,0.022,0.206,0.273338
49500,0.767,0.042,0.191,0.289462
50000,0.715,0.035,0.251,0.325623
50500,0.705,0.032,0.263,0.317151
51000,0.732,0.040,0.228,0.299871
51500,0.749,0.045,0.206,0.306198
52000,0.769,0.025,0.206,0.267441
52500,0.739,0.015,0.246,0.281164
53000,0.782,0.022,0.196,0.244656
53500,0.806,0.037,0.156,0.237656
54000,0.814,0.027,0.159,0.221777
54500,0.787,0.022,0.191,0.251773
55000,0.769,0.015,0.216,0.257202
55500,0.794,0.015,0.191,0.246902
56000,0.814,0.020,0.166,0.234895
56500,0.811,0.017,0.171,0.219003
57000,0.814,0.017,0.169,0.205526
57500,0.757,0.040,0.203,0.310496
58000,0.762,0.042,0.196,0.303632
58500,0.734,0.030,0.236,0.301450
59000,0.725,0.027,0.248,0.307103
59500,0.777,0.012,0.211,0.246285
60000,0.799,0.017,0.184,0.230330
60500,0.797,0.015,0.189,0.222574
61000,0.834,0.012,0.154,0.205745
61500,0.868,0.007,0.124,0.171521
62000,0.864,0.020,0.117,0.189597
62500,0.831,0.015,0.154,0.212504
63000,0.864,0.005,0.132,0.151342
63500,0.873,0.010,0.117,0.153305
64000,0.866,0.010,0.124,0.174950
64500,0.878,0.005,0.117,0.157388
65000,0.834,0.017,0.149,0.213291
65500,0.816,0.027,0.156,0.220235
66000,0.794,0.040,0.166,0.263979
66500,0.814,0.025,0.161,0.228864
67000,0.826,0.022,0.151,0.217466
67500,0.816,0.012,0.171,0.211660
68000,0.888,0.010,0.102,0.112206
68500,0.873,0.007,0.119,0.147859
69000,0.903,0.017,0.079,0.098106
69500,0.888,0.010,0.102,0.122984
70000,0.861,0.005,0.134,0.194207
70500,0.846,0.005,0.149,0.190943
71000,0.836,0.007,0.156,0.201013
71500,0.799,0.010,0.191,0.266343
72000,0.749,0.027,0.223,0.330037
72500,0.695,0.027,0.278,0.351626
73000,0.680,0.025,0.295,0.366236
73500,0.720,0.030,0.251,0.320445
74000,0.737,0.032,0.231,0.276827
74500,0.730,0.032,0.238,0.275769
75000,0.772,0.032,0.196,0.224919
75500,0.797,0.010,0.194,0.206436
76000,0.797,0.012,0.191,0.220387
76500,0.749,0.057,0.194,0.321688
77000,0.702,0.030,0.268,0.320665
77500,0.722,0.017,0.261,0.305096
78000,0.749,0.007,0.243,0.273154
78500,0.744,0.017,0.238,0.289208
79000,0.759,0.025,0.216,0.276540
79500,0.739,0.025,0.236,0.308150
80000,0.764,0.017,0.218,0.260083
80500,0.789,0.012,0.199,0.244669
81000,0.744,0.020,0.236,0.304574
81500,0.764,0.030,0.206,0.295304
82000,0.772,0.025,0.203,0.248718
82500,0.782,0.037,0.181,0.259677
83000,0.794,0.030,0.176,0.257235
83500,0.744,0.027,0.228,0.293743
84000,0.754,0.022,0.223,0.284181
84500,0.767,0.030,0.203,0.281285
85000,0.764,0.015,0.221,0.269035
85500,0.737,0.017,0.246,0.295769
86000,0.739,0.032,0.228,0.283973
86500,0.727,0.037,0.236,0.293960
87000,0.744,0.027,0.228,0.276010
87500,0.747,0.037,0.216,0.279883
88000,0.797,0.027,0.176,0.236348
88500,0.784,0.027,0.189,0.248865
89000,0.844,0.017,0.139,0.185646
89500,0.866,0.005,0.129,0.148243
90000,0.856,0.005,0.139,0.181908
90500,0.821,0.002,0.176,0.222911
91000,0.856,0.005,0.139,0.176254
91500,0.824,0.030,0.146,0.201796
92000,0.816,0.015,0.169,0.214469
92500,0.752,0.025,0.223,0.275323
93000,0.764,0.025,0.211,0.273342
93500,0.801,0.022,0.176,0.220919
94000,0.814,0.022,0.164,0.189837
94500,0.834,0.017,0.149,0.178448
95000,0.819,0.017,0.164,0.225188
95500,0.806,0.012,0.181,0.232822
96000,0.839,0.012,0.149,0.190944
96500,0.871,0.005,0.124,0.145523
97000,0.903,0.012,0.084,0.114237
97500,0.911,0.002,0.087,0.095411
98000,0.908,0.007,0.084,0.097323
