time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.030,0.926,0.045,0.112243
1000,0.035,0.871,0.094,0.193171
1500,0.032,0.836,0.132,0.230289
2000,0.057,0.794,0.149,0.294011
2500,0.062,0.727,0.211,0.350243
3000,0.077,0.680,0.243,0.384608
3500,0.084,0.615,0.300,0.423250
4000,0.109,0.546,0.345,0.443685
4500,0.141,0.444,0.414,0.471592
5000,0.169,0.414,0.417,0.463874
5500,0.176,0.407,0.417,0.480989
6000,0.169,0.367,0.464,0.469351
6500,0.263,0.288,0.449,0.481047
7000,0.278,0.226,0.496,0.454395
7500,0.313,0.228,0.459,0.472809
8000,0.318,0.253,0.429,0.488828
8500,0.261,0.251,0.489,0.475989
9000,0.231,0.273,0.496,0.474437
9500,0.273,0.258,0.469,0.479463
10000,0.300,0.256,0.444,0.497856
10500,0.238,0.218,0.543,0.444556
11000,0.285,0.184,0.531,0.436766
11500,0.355,0.191,0.454,0.460329
12000,0.377,0.181,0.442,0.459836
12500,0.377,0.171,0.452,0.463897
13000,0.313,0.191,0.496,0.460094
13500,0.285,0.208,0.506,0.450146
14000,0.248,0.258,0.494,0.472793
14500,0.293,0.263,0.444,0.492256
15000,0.295,0.246,0.459,0.485596
15500,0.280,0.233,0.486,0.468475
16000,0.293,0.243,0.464,0.478924
16500,0.315,0.251,0.434,0.496431
17000,0.310,0.246,0.444,0.494035
17500,0.303,0.233,0.464,0.478403
18000,0.300,0.206,0.494,0.468744
18500,0.342,0.191,0.467,0.465809
19000,0.355,0.171,0.474,0.460567
19500,0.385,0.179,0.437,0.468237
20000,0.370,0.156,0.474,0.443134
20500,0.409,0.146,0.444,0.455777
21000,0.362,0.194,0.444,0.471287
21500,0.385,0.149,0.467,0.444320
22000,0.400,0.149,0.452,0.461585
22500,0.385,0.146,0.469,0.444685
23000,0.437,0.166,0.397,0.466088
23500,0.444,0.151,0.404,0.451881
24000,0.385,0.149,0.467,0.461187
24500,0.434,0.104,0.462,0.440650
25000,0.457,0.107,0.437,0.440794
25500,0.476,0.102,0.422,0.441062
26000,0.407,0.141,0.452,0.450830
26500,0.414,0.146,0.439,0.462867
27000,0.437,0.119,0.444,0.445949
27500,0.422,0.104,0.474,0.438364
28000,0.462,0.089,0.449,0.426987
28500,0.429,0.117,0.454,0.447077
29000,0.392,0.144,0.464,0.466724
29500,0.377,0.164,0.459,0.474612
30000,0.370,0.161,0.469,0.467485
30500,0.345,0.169,0.486,0.468021
31000,0.340,0.181,0.479,0.487098
31500,0.432,0.161,0.407,0.469571
32000,0.419,0.151,0.429,0.455033
32500,0.357,0.154,0.489,0.448205
33000,0.370,0.149,0.481,0.449647
33500,0.434,0.124,0.442,0.450671
34000,0.427,0.129,0.444,0.457582
34500,0.409,0.122,0.469,0.436713
35000,0.365,0.127,0.509,0.431529
35500,0.395,0.132,0.474,0.439723
36000,0.442,0.132,0.427,0.438900
36500,0.442,0.141,0.417,0.451636
37000,0.387,0.144,0.469,0.463437
37500,0.419,0.094,0.486,0.435053
38000,0.481,0.084,0.434,0.419194
38500,0.524,0.082,0.395,0.403684
39000,0.516,0.109,0.375,0.426978
39500,0.514,0.089,0.397,0.405525
40000,0.516,0.089,0.395,0.430219
40500,0.509,0.104,0.387,0.441311
41000,0.533,0.122,0.345,0.435869
41500,0.511,0.097,0.392,0.430455
42000,0.474,0.129,0.397,0.457975
42500,0.479,0.117,0.404,0.450617
43000,0.469,0.117,0.414,0.443716
43500,0.494,0.112,0.395,0.438344
44000,0.504,0.092,0.404,0.406669
44500,0.524,0.092,0.385,0.418441
45000,0.516,0.079,0.404,0.403246
45500,0.566,0.060,0.375,0.386589
46000,0.571,0.055,0.375,0.387200
46500,0.598,0.067,0.335,0.389425
47000,0.591,0.079,0.330,0.409392
