time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.028,0.936,0.037,0.099836
1000,0.031,0.924,0.046,0.114551
1500,0.028,0.896,0.076,0.155672
2000,0.031,0.908,0.061,0.144008
2500,0.028,0.924,0.049,0.116371
3000,0.028,0.911,0.061,0.129321
3500,0.028,0.899,0.073,0.139820
4000,0.040,0.878,0.083,0.159892
4500,0.043,0.844,0.113,0.189064
5000,0.046,0.881,0.073,0.161355
5500,0.034,0.853,0.113,0.189309
6000,0.034,0.884,0.083,0.155794
6500,0.046,0.884,0.070,0.165004
7000,0.049,0.847,0.104,0.211005
7500,0.052,0.856,0.092,0.201215
8000,0.031,0.872,0.098,0.169097
8500,0.037,0.875,0.089,0.175814
9000,0.040,0.878,0.083,0.168397
9500,0.043,0.878,0.080,0.169536
10000,0.043,0.859,0.098,0.181267
10500,0.049,0.847,0.104,0.192908
11000,0.037,0.884,0.080,0.143958
11500,0.034,0.908,0.058,0.127857
12000,0.034,0.933,0.034,0.093823
12500,0.034,0.862,0.104,0.203354
13000,0.028,0.887,0.086,0.160873
13500,0.028,0.869,0.104,0.170169
14000,0.037,0.869,0.095,0.177364
14500,0.037,0.835,0.128,0.212549
15000,0.031,0.914,0.055,0.111662
15500,0.034,0.859,0.107,0.175331
16000,0.031,0.893,0.076,0.149285
16500,0.040,0.893,0.067,0.147735
17000,0.043,0.872,0.086,0.173415
17500,0.040,0.884,0.076,0.147078
18000,0.052,0.844,0.104,0.192232
18500,0.080,0.789,0.131,0.230114
19000,0.095,0.777,0.128,0.269012
19500,0.104,0.737,0.159,0.283112
20000,0.086,0.780,0.135,0.233238
20500,0.070,0.804,0.125,0.204657
21000,0.089,0.774,0.138,0.245566
21500,0.101,0.755,0.144,0.252917
22000,0.092,0.777,0.131,0.241635
22500,0.128,0.728,0.144,0.256158
23000,0.144,0.706,0.150,0.271173
23500,0.144,0.728,0.128,0.246507
24000,0.107,0.761,0.131,0.239931
24500,0.092,0.768,0.141,0.234208
25000,0.064,0.777,0.159,0.265072
25500,0.052,0.826,0.122,0.213864
26000,0.043,0.841,0.116,0.210118
26500,0.043,0.865,0.092,0.186157
27000,0.034,0.865,0.101,0.194263
27500,0.034,0.890,0.076,0.152413
28000,0.040,0.862,0.098,0.189927
28500,0.031,0.872,0.098,0.176015
29000,0.043,0.853,0.104,0.191150
29500,0.037,0.878,0.086,0.166178
30000,0.037,0.902,0.061,0.142811
30500,0.031,0.884,0.086,0.150122
31000,0.043,0.893,0.064,0.136538
31500,0.034,0.917,0.049,0.108174
32000,0.034,0.924,0.043,0.104944
32500,0.031,0.905,0.064,0.131676
33000,0.037,0.862,0.101,0.197128
33500,0.046,0.872,0.083,0.176686
34000,0.040,0.905,0.055,0.128513
34500,0.040,0.896,0.064,0.141276
35000,0.040,0.911,0.049,0.132412
35500,0.037,0.890,0.073,0.162796
36000,0.040,0.884,0.076,0.165501
36500,0.040,0.878,0.083,0.184532
37000,0.040,0.865,0.095,0.169381
37500,0.046,0.856,0.098,0.179825
38000,0.031,0.859,0.110,0.170503
38500,0.031,0.905,0.064,0.135024
39000,0.040,0.896,0.064,0.146956
39500,0.043,0.881,0.076,0.158158
40000,0.028,0.920,0.052,0.107025
40500,0.028,0.893,0.080,0.125572
41000,0.028,0.942,0.031,0.075654
41500,0.028,0.927,0.046,0.102186
42000,0.028,0.920,0.052,0.102421
42500,0.037,0.899,0.064,0.138038
43000,0.031,0.908,0.061,0.131214
43500,0.028,0.914,0.058,0.113294
44000,0.034,0.884,0.083,0.168339
44500,0.046,0.850,0.104,0.210723
45000,0.052,0.853,0.095,0.206456
45500,0.043,0.881,0.076,0.162031
46000,0.037,0.902,0.061,0.132756
46500,0.040,0.890,0.070,0.149034
47000,0.034,0.908,0.058,0.121096
47500,0.037,0.887,0.076,0.152130
48000,0.043,0.893,0.064,0.142641
48500,0.031,0.887,0.083,0.166677
49000,0.034,0.939,0.028,0.093004
49500,0.037,0.911,0.052,0.125305
50000,0.034,0.887,0.080,0.161664
50500,0.037,0.911,0.052,0.132485
51000,0.043,0.869,0.089,0.185891
51500,0.043,0.832,0.125,0.222938
52000,0.040,0.875,0.086,0.174596
52500,0.058,0.862,0.080,0.173748
53000,0.031,0.914,0.055,0.106264
53500,0.028,0.933,0.040,0.086291
54000,0.028,0.869,0.104,0.182958
54500,0.031,0.893,0.076,0.138192
55000,0.049,0.850,0.101,0.209474
55500,0.028,0.908,0.064,0.124284
56000,0.046,0.905,0.049,0.140795
56500,0.037,0.869,0.095,0.191548
57000,0.061,0.841,0.098,0.200945
57500,0.046,0.887,0.067,0.135822
58000,0.043,0.887,0.070,0.149429
58500,0.040,0.899,0.061,0.138763
59000,0.043,0.899,0.058,0.136060
59500,0.037,0.884,0.080,0.164664
60000,0.043,0.899,0.058,0.139351
60500,0.049,0.878,0.073,0.160850
61000,0.040,0.896,0.064,0.136475
61500,0.034,0.884,0.083,0.160478
62000,0.028,0.893,0.080,0.152213
62500,0.040,0.920,0.040,0.112267
63000,0.034,0.902,0.064,0.144856
63500,0.028,0.927,0.046,0.115823
64000,0.031,0.920,0.049,0.118761
64500,0.028,0.954,0.018,0.064292
65000,0.028,0.936,0.037,0.098726
65500,0.031,0.914,0.055,0.130166
66000,0.028,0.930,0.043,0.119976
66500,0.031,0.902,0.067,0.153117
67000,0.034,0.920,0.046,0.112476
67500,0.040,0.899,0.061,0.139921
68000,0.055,0.856,0.089,0.188064
68500,0.058,0.829,0.113,0.204481
69000,0.058,0.853,0.089,0.180738
69500,0.049,0.890,0.061,0.142799
70000,0.034,0.908,0.058,0.127113
70500,0.028,0.908,0.064,0.135469
71000,0.031,0.902,0.067,0.152575
71500,0.034,0.914,0.052,0.125330
72000,0.034,0.920,0.046,0.118580
72500,0.040,0.905,0.055,0.133464
73000,0.037,0.905,0.058,0.135901
73500,0.031,0.875,0.095,0.164963
74000,0.028,0.878,0.095,0.162948
74500,0.028,0.908,0.064,0.128334
75000,0.040,0.865,0.095,0.164190
75500,0.034,0.865,0.101,0.164667
76000,0.040,0.872,0.089,0.172839
76500,0.040,0.884,0.076,0.153586
77000,0.034,0.893,0.073,0.146070
77500,0.028,0.908,0.064,0.134406
78000,0.031,0.920,0.049,0.131317
78500,0.028,0.927,0.046,0.113756
79000,0.034,0.911,0.055,0.126291
79500,0.043,0.887,0.070,0.150773
80000,0.040,0.862,0.098,0.177853
80500,0.058,0.859,0.083,0.176485
81000,0.058,0.853,0.089,0.182886
81500,0.052,0.841,0.107,0.199535
82000,0.046,0.859,0.095,0.172769
82500,0.058,0.850,0.092,0.207866
83000,0.049,0.850,0.101,0.203909
83500,0.037,0.853,0.110,0.197201
84000,0.037,0.887,0.076,0.149142
84500,0.040,0.896,0.064,0.142928
85000,0.031,0.884,0.086,0.167011
85500,0.028,0.924,0.049,0.106996
86000,0.028,0.920,0.052,0.116645
86500,0.031,0.905,0.064,0.148417
87000,0.037,0.859,0.104,0.189241
87500,0.046,0.865,0.089,0.180711
88000,0.037,0.862,0.101,0.184014
88500,0.028,0.878,0.095,0.166840
89000,0.040,0.905,0.055,0.120259
89500,0.028,0.902,0.070,0.126330
90000,0.037,0.899,0.064,0.137517
90500,0.028,0.920,0.052,0.106600
91000,0.031,0.924,0.046,0.111191
91500,0.034,0.881,0.086,0.164581
92000,0.043,0.838,0.119,0.217627
92500,0.046,0.844,0.110,0.216297
